TICKER;PRECO;DY;P/L;P/VP;P/ATIVOS;MARGEM BRUTA;MARGEM EBIT;MARG. LIQUIDA;P/EBIT;EV/EBIT;DIVIDA LIQUIDA / EBIT;DIV. LIQ. / PATRI.;PSR;P/CAP. GIRO;P. AT CIR. LIQ.;LIQ. CORRENTE;ROE;ROA;ROIC;PATRIMONIO / ATIVOS;PASSIVOS / ATIVOS;GIRO ATIVOS;CAGR RECEITAS 5 ANOS;CAGR LUCROS 5 ANOS; LIQUIDEZ MEDIA DIARIA; VPA; LPA; PEG Ratio; VALOR DE MERCADO
CATA4;0,00;;0,00;0,00;0,00;26,05;7,43;5,80;0,00;4,08;3,45;0,39;0,00;0,00;0,00;1,78;8,89;4,22;2,32;0,47;0,53;0,73;12,29;20,24;;1.418,62;126,09;0,00;14.940.354,78
CBAV3;7,04;;19,58;1,01;0,33;9,04;9,32;2,64;5,54;9,37;3,83;0,70;0,52;1,98;-0,49;2,01;5,18;1,69;6,92;0,33;0,66;0,64;9,20;;29.530.248,05;6,95;0,36;-0,15;4.583.551.786,88
CBEE3;10,01;;6,55;0,46;0,19;13,85;8,03;6,19;5,05;11,83;6,78;0,61;0,41;-0,99;-0,23;0,51;6,99;2,88;0,25;0,41;0,59;0,47;8,16;15,76;32.242,00;21,86;1,53;-0,01;3.804.195.875,48
CCXC3;1,16;;-0,25;-0,03;2,34;;;;-3,26;-3,21;0,05;;;-0,03;;0,01;-10,66;-946,44;0,81;-88,75;89,75;0,00;;;;-43,93;-4,68;0,00;1.973.425,64
CEAB3;12,41;6,86;7,23;1,08;0,43;55,15;12,50;6,56;3,80;3,86;0,07;0,02;0,47;2,70;-0,82;1,50;14,95;5,93;16,61;0,40;0,60;0,90;7,64;252,47;209.806.202,05;11,47;1,72;0,16;3.825.321.293,88
CEBR3;27,02;22,75;10,11;1,96;1,36;45,61;49,84;40,15;8,15;6,41;-2,03;-0,49;4,06;3,00;-2,87;7,12;19,36;13,44;14,02;0,69;0,13;0,33;-33,77;10,10;120.674,68;13,80;2,67;0,86;2.019.252.172,80
CEBR5;26,27;17,06;9,83;1,90;1,32;45,61;49,84;40,15;7,92;6,41;-2,03;-0,49;3,95;2,92;-2,79;7,12;19,36;13,44;14,02;0,69;0,13;0,33;-33,77;10,10;96.387,58;13,80;2,67;0,83;2.019.252.172,80
CEBR6;29,00;23,32;10,85;2,10;1,46;45,61;49,84;40,15;8,74;6,41;-2,03;-0,49;4,36;3,23;-3,08;7,12;19,36;13,44;14,02;0,69;0,13;0,33;-33,77;10,10;251.789,68;13,80;2,67;0,92;2.019.252.172,80
CEDO3;14,00;;3,43;0,48;0,15;27,41;10,49;4,31;1,41;5,09;3,85;1,32;0,15;4,00;-0,25;1,10;14,05;4,27;8,45;0,30;0,70;0,99;8,89;;2.800,00;29,08;4,09;-0,10;124.116.284,80
CEDO4;10,30;;2,52;0,35;0,11;27,41;10,49;4,31;1,04;5,09;3,85;1,32;0,11;2,94;-0,18;1,10;14,05;4,27;8,45;0,30;0,70;0,99;8,89;;5.442,50;29,08;4,09;-0,07;124.116.284,80
CEEB3;45,06;11,75;5,66;1,38;0,35;29,88;23,58;11,36;2,73;6,78;3,65;1,84;0,64;-40,03;-0,43;0,95;24,33;6,25;16,82;0,26;0,74;0,55;10,09;15,61;41.507,56;32,69;7,96;0,29;13.529.787.906,58
CEEB5;39,00;13,58;4,90;1,19;0,31;29,88;23,58;11,36;2,36;6,78;3,65;1,84;0,56;-34,65;-0,37;0,95;24,33;6,25;16,82;0,26;0,74;0,55;10,09;15,61;15.414,00;32,69;7,96;0,25;13.529.787.906,58
CEEB6;60,68;9,60;7,63;1,86;0,48;29,88;23,58;11,36;3,67;6,78;3,65;1,84;0,87;-53,91;-0,58;0,95;24,33;6,25;16,82;0,26;0,74;0,55;10,09;15,61;;32,69;7,96;0,40;13.529.787.906,58
CEED3;8,95;;-0,98;-0,15;0,07;17,46;6,84;-10,25;1,47;15,74;14,27;;0,10;1,22;-0,10;1,22;-15,49;-6,99;13,37;-0,45;1,45;0,68;9,53;;895,00;-59,06;-9,15;-0,07;612.693.978,20
CEED4;20,00;;-2,19;-0,34;0,15;17,46;6,84;-10,25;3,28;15,74;14,27;;0,22;2,72;-0,22;1,22;-15,49;-6,99;13,37;-0,45;1,45;0,68;9,53;;0,00;-59,06;-9,15;-0,15;612.693.978,20
CEGR3;96,49;;43,43;12,53;5,37;31,38;20,13;11,70;25,24;25,89;0,65;0,32;5,08;-74,20;-7,00;0,76;28,85;12,36;25,85;0,43;0,57;1,06;2,19;9,12;0,00;7,70;2,22;3,30;25.052.444.760,68
CEPE3;125,26;;15,52;4,39;0,63;22,37;15,27;7,09;7,21;12,86;6,18;3,77;1,10;18,96;-0,82;1,17;28,29;4,08;8,14;0,14;0,86;0,58;6,27;27,12;;28,52;8,07;0,01;8.662.392.210,18
CEPE5;40,12;;4,97;1,41;0,20;22,37;15,27;7,09;2,31;12,86;6,18;3,77;0,35;6,07;-0,26;1,17;28,29;4,08;8,14;0,14;0,86;0,58;6,27;27,12;;28,52;8,07;0,00;8.662.392.210,18
CEPE6;43,00;;5,33;1,51;0,22;22,37;15,27;7,09;2,47;12,86;6,18;3,77;0,38;6,51;-0,28;1,17;28,29;4,08;8,14;0,14;0,86;0,58;6,27;27,12;;28,52;8,07;0,00;8.662.392.210,18
CESP3;25,55;;8,74;1,81;0,64;29,87;114,64;57,81;4,40;7,24;2,87;1,18;5,05;12,17;-0,70;2,37;20,71;7,31;12,31;0,35;0,65;0,13;-1,33;-3,81;;14,12;2,92;0,02;8.302.192.833,55
CESP5;25,00;;8,55;1,77;0,63;29,87;114,64;57,81;4,31;7,24;2,87;1,18;4,94;11,91;-0,69;2,37;20,71;7,31;12,31;0,35;0,65;0,13;-1,33;-3,81;;14,12;2,92;0,02;8.302.192.833,55
CESP6;25,25;;8,63;1,79;0,63;29,87;114,64;57,81;4,35;7,24;2,87;1,18;4,99;12,03;-0,69;2,37;20,71;7,31;12,31;0,35;0,65;0,13;-1,33;-3,81;;14,12;2,92;0,02;8.302.192.833,55
CGAS3;120,20;7,98;9,85;7,86;1,07;26,94;22,97;12,52;5,37;7,76;2,38;3,49;1,23;12,28;-1,50;1,43;79,80;10,87;22,09;0,14;0,86;0,87;10,17;3,41;17.474,11;15,29;12,20;-0,23;15.928.974.557,40
CGAS5;130,29;7,45;10,68;8,52;1,16;26,94;22,97;12,52;5,82;7,76;2,38;3,49;1,34;13,31;-1,63;1,43;79,80;10,87;22,09;0,14;0,86;0,87;10,17;3,41;116.928,59;15,29;12,20;-0,25;15.928.974.557,40
CGRA3;28,00;10,46;6,58;0,70;0,51;53,39;8,92;13,75;10,13;6,74;-3,25;-0,22;0,90;1,77;-0,93;2,81;10,65;7,77;6,37;0,73;0,27;0,56;8,68;-4,66;153.712,50;39,96;4,26;0,47;661.040.373,70
CGRA4;27,30;10,73;6,41;0,68;0,50;53,39;8,92;13,75;9,88;6,74;-3,25;-0,22;0,88;1,73;-0,90;2,81;10,65;7,77;6,37;0,73;0,27;0,56;8,68;-4,66;1.133.667,42;39,96;4,26;0,46;661.040.373,70
CIEL3;5,83;;11,35;1,54;0,14;40,95;19,23;12,88;7,60;11,71;4,11;0,84;1,46;1,54;-1,52;1,12;13,60;1,27;4,71;0,09;0,88;0,10;-1,94;-2,04;0,00;3,78;0,51;-1,21;15.839.031.805,63
CLSA3;10,49;;-24,41;3,06;2,30;33,36;-32,02;-16,96;-12,93;-10,71;2,22;-0,52;4,14;7,90;-4,94;2,19;-12,52;-9,40;-34,71;0,75;0,25;0,55;17,88;;57.778.110,00;3,43;-0,43;-0,08;1.971.344.369,40
CLSC3;115,79;2,51;6,37;1,13;0,33;17,10;11,73;6,02;3,27;6,44;3,02;1,04;0,38;6,34;-0,46;1,23;17,75;5,19;13,54;0,29;0,71;0,86;5,86;19,86;29.045,60;102,44;18,18;1,61;4.677.291.720,53
CLSC4;124,95;2,56;6,87;1,22;0,36;17,10;11,73;6,02;3,53;6,44;3,02;1,04;0,41;6,84;-0,49;1,23;17,75;5,19;13,54;0,29;0,71;0,86;5,86;19,86;421.942,42;102,44;18,18;1,74;4.677.291.720,53
CMIG3;14,54;10,35;10,35;1,45;0,64;17,82;13,62;9,47;7,20;8,35;2,27;0,46;0,98;-25,42;-0,81;0,89;13,99;6,21;12,05;0,44;0,56;0,66;9,42;5,15;1.740.182,74;10,04;1,40;-0,26;35.170.800.407,38
CMIG4;11,16;13,48;7,95;1,11;0,49;17,82;13,62;9,47;5,53;8,35;2,27;0,46;0,75;-19,51;-0,62;0,89;13,99;6,21;12,05;0,44;0,56;0,66;9,42;5,15;132.190.248,37;10,04;1,40;-0,20;35.170.800.407,38
CMIN3;5,30;9,86;11,76;2,88;0,80;47,64;29,29;13,79;5,54;4,71;-0,83;-0,43;1,62;3,43;-1,49;2,02;24,47;6,80;19,37;0,28;0,72;0,49;7,57;-7,58;42.400.634,63;1,84;0,45;-0,33;29.072.295.825,50
CMSA3;0,00;;0,00;0,00;0,00;;;;0,00;0,07;0,07;-0,96;;0,00;0,00;38,28;-1.369,84;-1.336,29;-1.392,40;0,98;0,02;0,00;;;;0,00;0,00;0,00;0,00
CMSA4;0,00;;0,00;0,00;0,00;;;;0,00;0,07;0,07;-0,96;;0,00;0,00;38,28;-1.369,84;-1.336,29;-1.392,40;0,98;0,02;0,00;;;;0,00;0,00;0,00;0,00
CNSY3;30,22;;-86,19;-23,75;5,37;18,72;7,08;-7,71;93,87;109,95;16,08;;6,65;-28,61;-6,18;0,41;-27,56;-6,23;4,37;-0,23;1,23;0,81;2,97;;;-1,27;-0,35;0,14;935.885.083,86
COCE3;32,50;4,16;9,53;0,54;0,18;17,10;13,41;3,33;2,37;7,22;4,81;1,09;0,32;-0,97;-0,22;0,53;5,64;1,87;9,92;0,33;0,67;0,56;9,44;-6,19;1.625,00;60,39;3,41;9,03;2.850.875.610,50
COCE5;33,90;3,99;9,94;0,56;0,19;17,10;13,41;3,33;2,47;7,22;4,81;1,09;0,33;-1,01;-0,23;0,53;5,64;1,87;9,92;0,33;0,67;0,56;9,44;-6,19;421.731,89;60,39;3,41;9,42;2.850.875.610,50
COCE6;12,83;13,90;3,76;0,21;0,07;17,10;13,41;3,33;0,93;7,22;4,81;1,09;0,13;-0,38;-0,09;0,53;5,64;1,87;9,92;0,33;0,67;0,56;9,44;-6,19;0,00;60,39;3,41;3,57;2.850.875.610,50
COGN3;3,13;5,80;4,85;0,51;0,27;68,62;22,42;19,08;4,13;7,39;3,26;0,40;0,93;3,33;-0,33;1,81;10,43;5,59;5,58;0,54;0,42;0,29;-1,88;41,43;86.925.835,47;6,18;0,64;-0,01;6.461.155.181,03
CORR3;2,71;;0,01;0,01;0,00;100,00;2.560,96;2.141,14;0,01;-1,26;-1,41;-2,58;0,19;0,01;-0,02;4,25;152,84;44,18;126,45;0,29;0,71;0,02;-16,36;;;201,49;307,95;0,00;1.278.894,65
CORR4;82,00;;0,27;0,41;0,12;100,00;2.560,96;2.141,14;0,22;-1,26;-1,41;-2,58;5,70;0,20;-0,48;4,25;152,84;44,18;126,45;0,29;0,71;0,02;-16,36;;;201,49;307,95;0,00;1.278.894,65
CPFE3;53,76;5,20;11,37;2,73;0,75;31,43;24,61;12,25;5,66;7,75;2,09;1,01;1,39;609,16;-0,97;1,01;24,04;6,61;16,03;0,27;0,71;0,54;7,33;15,06;113.555.764,58;19,67;4,73;-16,51;61.945.198.694,40
